Review,Score,"Are there ways for you to generate more data? Spliting up sentences, would that help?",Language
Roti terlalu tebal dan topping terlalu sedikit.,4.325,,Malay
Satay dan sambal adalah pasangan yang hebat di pizza ini.,9.101,,Malay
"Rasa pizza terlalu pelik, tidak sesuai dengan saya.",2.71,,Malay
"Pizzanya enak, dengan topping yang kaya rasa.",8.78,,Malay
Tidak suka rasa mayo yang terlalu banyak.,4.545,,Malay
"Sambal memberikan rasa pedas yang sesuai, saya suka!",9.322,,Malay
"Pizza tidak segar, rasa agak hambar.",3.95,,Malay
Perisa satay memang terasa asli dan memikat.,9.587,,Malay
Roti keras dan topping tidak cukup segar.,3.46,,Malay
Fusion pizza ini sangat kreatif dan enak.,9.002,,Malay
"Kurang seasoning, rasa pizza kurang menarik.",4.59,,Malay
Pizzanya sangat sedap dengan kombinasi sambal dan mayo yang sempurna.,9.83,,Malay
Rasa yang tidak sesuai dengan jangkaan saya.,3.75,,Malay
"Enak dan berperisa, saya akan makan lagi.",9.255,,Malay
"Roti terlalu garing, topping kurang.",4.85,,Malay
Pizza ni buat saya rasa sedikit keliru dengan rasa.,5.12,,Malay
Satay dan sambal berfungsi dengan baik bersama dalam pizza ini.,8.91,,Malay
"Pizza kurang rasa, saya tidak puas hati.",4.215,,Malay
Pizzanya sedap dan memuaskan.,9.435,,Malay
Mayonis terlalu banyak buat rasa jadi berat.,4.9,,Malay
Gabungan rasa yang unik dan enak.,9.255,,Malay
Rasa pizza terlalu hambar dan kurang pedas.,4.13,,Malay
"Perisa sambal memang menarik, saya suka rasa pedasnya.",8.52,,Malay
"Roti terlalu keras, kurang lembut.",3.735,,Malay
Pizzanya sedap dan saya sangat menikmati rasa sataynya.,9.402,,Malay
"Rasa pizza biasa sahaja, tiada yang menarik.",5.45,,Malay
"Sambal terlalu kuat, terlalu pedas untuk saya.",3.975,,Malay
Pizza fusion yang sangat lazat dan unik.,9.77,,Malay
"Rasa pizza kurang menarik, perlu lebih baik.",4.62,,Malay
Roti dan topping dalam pizza ini sangat sempurna.,9.39,,Malay
Tidak puas hati dengan rasa mayo yang terlalu kuat.,4.215,,Malay
Fusion pizza yang berani dan menarik.,9.245,,Malay
"Rasa pizza agak hambar, tidak seperti yang dijangkakan.",5.03,,Malay
"Roti garing dan topping yang sedap, sangat puas hati.",9.58,,Malay
Pizza ini kurang sesuai dengan citarasa saya.,3.895,,Malay
Sambal dan satay buat pizza ini sedap dan unik.,9.111,,Malay
"Rasa pizza tidak konsisten, kadang hambar kadang terlalu pedas.",4.48,,Malay
Gabungan rasa yang sempurna dan lazat.,9.685,,Malay
"Pizza agak kering, perlu perbaiki rasa.",4.205,,Malay
"Pizzanya sangat sedap, saya suka semua toppingnya.",9.775,,Malay
"Rasa pizza tidak begitu menarik, agak mengecewakan.",4.9,,Malay
Roti lembut dan topping penuh perisa.,9.62,,Malay
Mayonis terlalu dominan dan mengganggu rasa.,4.13,,Malay
Fusion pizza yang sangat unik dan lazat.,9.57,,Malay
"Rasa pizza terlalu biasa, tiada keistimewaan.",5.04,,Malay
Sambal yang pedas dan mayo yang creamy sangat menarik.,9.3,,Malay
Roti keras dan topping tidak cukup segar.,3.765,,Malay
Pizzanya sangat memuaskan dan kaya rasa.,9.81,,Malay
"Kurang rasa, pizza agak hambar.",4.47,,Malay
Pizzanya sedap dan saya akan pesan lagi.,9.24,,Malay
Tidak berapa suka rasa mayo yang terlalu banyak.,4.225,,Malay
Fusion pizza ini sangat unik dan lazat.,9.605,,Malay
"Pizza biasa, tidak ada yang menarik.",5.095,,Malay
Perisa sambal sangat sedap dan menyegarkan.,8.845,,Malay
Roti terlalu keras dan topping kurang.,3.67,,Malay
Pizzanya sangat sedap dan berperisa.,9.69,,Malay
Rasa pizza kurang tajam dan kurang pedas.,4.36,,Malay
Saya suka kombinasi rasa sambal dan mayo di pizza ini.,9.295,,Malay
Roti kurang lembut dan topping terlalu sedikit.,4.575,,Malay
Fusion pizza yang sangat memuaskan dan unik.,9.83,,Malay
"Rasa pizza kurang menarik, boleh diperbaiki.",4.015,,Malay
"Pizzanya sangat sedap, saya berpuas hati.",9.455,,Malay
Mayonis terlalu kuat dan mengganggu rasa pizza.,4.145,,Malay
Gabungan rasa yang unik dan lazat.,9.4,,Malay
"Rasa pizza biasa-biasa saja, kurang menarik.",5.21,,Malay
Sambal yang pedas dan mayo yang lembut sangat seimbang.,9.13,,Malay
Roti keras dan topping kurang segar.,3.85,,Malay
Pizzanya sangat enak dengan rasa satay yang asli.,9.72,,Malay
Pizza ini kurang rasa dan kurang pedas.,4.39,,Malay
Fusion pizza yang lazat dan kreatif.,9.6,,Malay
Rasa pizza kurang menyengat dan hambar.,4.28,,Malay
Saya suka rasa unik pizza ini.,9.15,,Malay
Roti kurang lembut dan topping tidak cukup.,4.525,,Malay
Pizza ini sangat memuaskan dan berperisa.,9.87,,Malay
"Rasa pizza agak hambar, boleh diperbaiki.",4.16,,Malay
Sedap!,9.832,,Malay
Memang terbaik! Saya suka kombinasi sambal dan satay yang unik ini.,9.945,,Malay
"Rasa pizza fusion ini luar biasa, tekstur dan topping sempurna.",9.91,,Malay
"Pizza yang sangat lazat dan unik, gabungan rasa yang hebat.",9.876,,Malay
Terbaik! Sambal pedas dan mayo yang creamy buat rasa pizza lebih menarik.,9.92,,Malay
"Enak sangat, saya akan pesan lagi!",9.755,,Malay
Fusion pizza ini benar-benar membuka selera saya.,9.87,,Malay
Saya tak pernah rasa pizza sebegini enak dan berperisa.,9.91,,Malay
Rasa satay yang asli dan sambal pedas seimbang buat pizza ini istimewa.,9.945,,Malay
"Pizzanya lembut, topping penuh rasa, sangat puas hati.",9.899,,Malay
Rasa mayo yang creamy dan sambal yang pedas membangkitkan selera saya.,9.93,,Malay
"Pizza fusion ini sangat memuaskan, saya akan cadangkan kepada kawan-kawan.",9.88,,Malay
Luar biasa! Kombinasi rasa yang sangat kreatif dan lazat.,9.945,,Malay
"Terbaik! Pizzanya sangat enak, tak boleh berhenti makan.",9.93,,Malay
"Tekstur roti sempurna, rasa sambal dan satay seimbang.",9.91,,Malay
"Sangat sedap, sesuai dengan citarasa saya.",9.88,,Malay
"Saya sangat gemar pizza fusion ini, rasanya unik dan menyelerakan.",9.87,,Malay
Pizza fusion ini buat saya rasa teruja dengan rasa baru.,9.89,,Malay
Enak! Gabungan sambal dan mayo sangat sesuai.,9.955,,Malay
"Rasa satay dan sambal sangat menyelerakan, tekstur pizza juga tip-top.",9.94,,Malay
"Rasa pizza fusion ini memang hebat, saya suka sangat.",9.96,,Malay
"Roti yang lembut dan topping yang kaya rasa, sangat sedap.",9.97,,Malay
Fusion pizza yang sangat kreatif dan sedap.,9.92,,Malay
Memang terbaik! Saya tak sangka sambal dan satay boleh gabung sebegini sedap.,9.935,,Malay
Saya sangat puas hati dengan pizza ini.,9.98,,Malay
"Sedap, unik, dan penuh rasa.",9.95,,Malay
Pizza fusion ini membangkitkan selera saya dengan rasa yang hebat.,9.965,,Malay
"Rasa sambal dan mayo sangat seimbang, buat pizza ini luar biasa.",9.91,,Malay
"Pizzanya enak, topping berkualiti tinggi.",9.925,,Malay
"Saya sangat suka pizza fusion ini, akan pesan lagi.",9.985,,Malay
Enak dan penuh cita rasa yang unik.,9.94,,Malay
Tekstur roti sempurna dan topping sangat sedap.,9.955,,Malay
Rasa sambal pedas dan mayo creamy buat pizza ni luar biasa.,9.92,,Malay
Sangat sedap! Kombinasi rasa sangat kreatif.,9.97,,Malay
Fusion pizza yang sangat sedap dan memuaskan.,9.99,,Malay
Pizzanya sangat lembut dengan rasa sambal yang tepat.,9.96,,Malay
Pizza fusion yang terbaik pernah saya cuba.,9.975,,Malay
Gabungan rasa yang sangat menarik dan unik.,9.945,,Malay
Rasa satay dan sambal sangat sedap dan berani.,9.98,,Malay
"Saya suka sangat pizza fusion ni, rasa dia memang tip-top.",9.99,,Malay
Tekstur pizza sangat lembut dan rasa topping sangat berperisa.,9.985,,Malay
Rasa sambal dan mayo yang sempurna buat pizza ini sangat sedap.,9.975,,Malay
Sangat enak! Saya akan pesan lagi.,9.955,,Malay
Fusion pizza ni betul-betul sedap dan berperisa.,9.965,,Malay
Pizza fusion yang sangat lazat dan menggoda selera.,9.98,,Malay
Memang terbaik! Rasa sambal dan satay sangat serasi.,9.97,,Malay
Saya sangat suka topping dan tekstur pizza ini.,9.95,,Malay
Rasa yang sangat menarik dan nikmat.,9.94,,Malay
Pizzanya sangat lembut dan topping sangat lazat.,9.96,,Malay
"Enak dan berperisa, gabungan sambal dan mayo yang hebat.",9.985,,Malay
Rasa pizza fusion ni buat saya teruja.,9.975,,Malay
Sangat sedap dan saya sangat puas hati.,9.995,,Malay
Fusion pizza terbaik yang saya pernah cuba.,9.98,,Malay
Tekstur dan rasa topping sangat sempurna.,9.96,,Malay
Pizza fusion ni sangat unik dan lazat.,9.95,,Malay
Rasa sambal dan satay sangat harmonis.,9.97,,Malay
"Saya suka pizza ini, sangat memuaskan.",9.985,,Malay
Rasa mayo dan sambal yang unik buat pizza ni sangat sedap.,9.995,,Malay
Fusion pizza ni memang mengagumkan.,9.99,,Malay
Tekstur roti dan topping sangat sedap.,9.975,,Malay
Sangat kreatif dan lazat!,9.96,,Malay
Pizza fusion ni sangat menarik dan sedap.,9.94,,Malay
Rasa sambal pedas dan mayo yang creamy sangat seimbang.,9.985,,Malay
Memang terbaik! Saya suka sangat pizza ni.,9.97,,Malay
Rasa pizza fusion ini buat saya teruja dan puas hati.,9.995,,Malay
"Pizzanya sangat sedap, topping pun berkualiti.",9.98,,Malay
Enak dan tekstur roti sangat lembut.,9.96,,Malay
Fusion pizza ni buat saya terkejut dengan rasa uniknya.,9.95,,Malay
"Saya suka sangat pizza fusion ni, rasa dia sangat sedap.",9.975,,Malay
Roti lembut dan topping yang kaya perisa.,9.985,,Malay
Fusion pizza ni sangat lazat dan memuaskan.,9.99,,Malay
"Pizza fusion yang terbaik, tak boleh lawan!",9.995,,Malay
Gabungan sambal dan mayo buat pizza ni sangat lazat.,9.97,,Malay
Rasa topping sangat autentik dan sedap.,9.965,,Malay
"Saya suka pizza ni, rasa dia unik dan menarik.",9.98,,Malay
"Tekstur pizza sangat lembut, topping sangat sedap.",9.96,,Malay
Fusion pizza ini sangat menggoda selera saya.,9.975,,Malay
"Saya tak jemu makan pizza ni, sangat sedap.",9.99,,Malay
Pizza fusion ni buat saya rasa puas hati.,9.985,,Malay
Rasa sambal dan mayo sangat seimbang dan enak.,9.97,,Malay
Fusion pizza ni sangat kreatif dan memuaskan.,9.995,,Malay
Pizzanya sedap dan topping sangat berkualiti.,9.98,,Malay
Roti lembut dan topping kaya rasa.,9.96,,Malay
Rasa pizza fusion ni sangat unik dan lazat.,9.95,,Malay
Saya suka pizza ni sebab rasanya sangat enak.,9.975,,Malay
Fusion pizza yang sangat sedap dan memuaskan selera.,9.99,,Malay
Tekstur dan rasa topping sangat sempurna.,9.985,,Malay
Pizza fusion terbaik yang pernah saya cuba.,9.995,,Malay
Gabungan sambal dan mayo sangat memukau.,9.97,,Malay
Pizza ni sangat enak dan tak pernah mengecewakan.,9.965,,Malay
Fusion pizza ini buat saya puas hati setiap kali makan.,9.98,,Malay
Hebat!,9.875,,Malay
Sedap.,8.45,,Malay
Lazat!,9.32,,Malay
Memuaskan!,9.78,,Malay
Unik.,8.11,,Malay
Menarik!,9.54,,Malay
Lezat.,8.87,,Malay
Enak.,9.6,,Malay
Terbaik!,9.93,,Malay
Wow!,8.99,,Malay
Fusion pizza ini sangat kreatif. Rasa sambal dan mayo seimbang dengan sempurna. Saya pasti akan pesan lagi.,9.72,,Malay
Pizza fusion yang sangat lazat dan memikat selera. Setiap gigitan penuh dengan rasa unik. Kombinasi sambal dan satay memang terbaik.,9.985,,Malay
Tekstur roti sangat lembut dan topping kaya rasa. Sambal pedas tapi tidak terlalu kuat. Mayo menambah kelembutan yang menyenangkan.,9.845,,Malay
Roti yang hangat dan lembut menyokong rasa topping yang hebat. Sambal memberikan rasa pedas yang tepat. Satay menambah aroma yang memikat.,9.67,,Malay
Fusion pizza yang sangat menarik dan berani. Kombinasi rasa sambal dan mayo memang serasi. Setiap suapan memberikan kejutan rasa.,9.81,,Malay
Pizza ini sangat sedap dan berperisa. Roti yang garing dan topping segar membuatnya sempurna. Saya tidak pernah kecewa dengan pilihan ini.,9.755,,Malay
Rasa sambal yang pedas dan mayo yang creamy membuatkan pizza ini sangat enak. Satay menambah rasa eksotik yang memikat. Saya pasti akan pesan lagi.,9.88,,Malay
Fusion pizza yang sangat unik dan sedap. Rasa sambal dan mayo harmonis dalam setiap gigitan. Toppingnya segar dan kaya perisa.,9.92,,Malay
Pizza ini sangat memuaskan dengan rasa yang kaya. Sambal dan satay menyatu dengan baik. Mayo menambah kelembutan yang sempurna.,9.95,,Malay
Sedap dan unik! Sambal pedas yang menggoda dan mayo yang lembut. Pizza fusion ini memang mengasyikkan.,9.73,,Malay
Lezat! Saya suka tekstur roti yang lembut. Rasa sambal dan mayo sangat berimbang.,9.86,,Malay
Memuaskan! Gabungan sambal dan mayo yang hebat. Topping segar dan berperisa.,9.9,,Malay
Lazat dan menggoda. Setiap gigitan memuaskan selera saya. Fusion pizza yang hebat!,9.92,,Malay
Unik dan menarik. Rasa sambal dan mayo yang seimbang. Pasti akan pesan lagi.,9.84,,Malay
Hebat dan sedap. Roti garing dan topping kaya rasa. Saya sangat puas hati.,9.93,,Malay
Enak! Rasa sambal pedas dan mayo creamy yang serasi. Pizza fusion yang sempurna.,9.89,,Malay
Memuaskan! Topping segar dan rasa yang kuat. Pizza fusion terbaik.,9.975,,Malay
Lazat! Sambal dan mayo buat rasa pizza jadi menarik. Saya sangat suka.,9.91,,Malay
Sedap! Fusion pizza yang sangat memuaskan. Topping segar dan perisa mantap.,9.955,,Malay
Terbaik! Kombinasi sambal dan mayo yang kreatif. Saya akan pesan lagi.,9.965,,Malay
Wow! Pizza fusion yang unik dan sedap. Roti lembut dan topping kaya.,9.945,,Malay
Hebat! Rasa sambal pedas dan mayo yang lembut. Fusion pizza yang lazat.,9.985,,Malay
Enak! Topping kaya rasa dan roti garing. Saya sangat puas hati.,9.925,,Malay
Memuaskan! Fusion pizza dengan rasa unik. Sambal dan mayo serasi.,9.96,,Malay
Sedap! Roti lembut dan topping berperisa. Pizza fusion yang hebat.,9.91,,Malay
Lazat! Rasa sambal dan mayo seimbang. Fusion pizza yang unik.,9.93,,Malay
Unik! Pizza fusion dengan rasa yang kreatif. Saya suka sangat.,9.945,,Malay
Terbaik! Topping segar dan roti garing. Fusion pizza yang sangat sedap.,9.97,,Malay
Wow! Rasa sambal pedas dan mayo creamy. Pizza fusion yang hebat.,9.985,,Malay
Biasa.,5.25,,Malay
Agak okay.,5.8,,Malay
Biasa saja.,5.4,,Malay
Kurang menarik.,4.95,,Malay
Tak buruk.,5.6,,Malay
Rasa biasa.,5.1,,Malay
Ok.,5.7,,Malay
Tak mengecewakan.,5.35,,Malay
Biasa-biasa.,5,,Malay
Agak hambar.,4.85,,Malay
Pizza fusion ini biasa saja. Rasa sambal dan mayo tidak begitu menyerlah. Saya rasa ia boleh diperbaiki.,5.2,,Malay
Rasa pizza ni tidak terlalu kuat atau terlalu lemah. Boleh diterima untuk sekali makan. Tidak ada yang sangat istimewa.,5.6,,Malay
Topping pizza agak rata-rata. Sambal dan mayo tidak banyak membezakan rasa. Roti agak keras.,5,,Malay
"Fusion pizza ini boleh diterima. Rasa sambal tidak terlalu pedas, mayo juga tidak terlalu berat. Sesuai untuk yang tidak suka rasa kuat.",5.4,,Malay
Pizza fusion ini ok tapi tiada apa yang menarik. Saya rasa sambal dan mayo kurang menonjol. Mungkin boleh cuba yang lain.,5.15,,Malay
"Sedap tapi tidak wow. Roti agak biasa, topping tidak terlalu segar. Cukup makan sahaja.",5.3,,Malay
"Rasa pizza fusion ini agak sederhana. Sambal tidak pedas sangat, mayo pun biasa. Saya boleh makan tapi tak pasti nak ulang.",5.55,,Malay
"Tidak buruk, tapi tak ada rasa yang buat saya teringat. Pizza fusion ini agak simple. Sesuai untuk yang suka rasa ringan.",5.2,,Malay
Fusion pizza ini tak begitu menarik. Rasa sambal dan mayo agak hambar. Roti pula agak keras.,4.95,,Malay
"Pizza ni ok tapi tak wow. Rasa sambal tak cukup tajam, mayo juga sederhana. Saya bagi markah sederhana.",5.6,,Malay
"Biasa-biasa sahaja, pizza fusion ni. Rasa sambal dan mayo tak begitu menonjol. Tak ada yang spesial.",5.1,,Malay
"Rasa pizza fusion ini sederhana. Sambal dan mayo tidak kuat, topping biasa sahaja. Sesuai untuk yang tak suka rasa berat.",5.25,,Malay
Fusion pizza ni rasa biasa-biasa. Sambal dan mayo tak terlalu kuat. Roti agak keras.,5.45,,Malay
Rasa pizza ni agak sederhana. Sambal dan mayo tiada rasa yang menonjol. Pizza biasa untuk saya.,5,,Malay
"Pizza fusion ni rasa ok, tapi tak mengagumkan. Sambal dan mayo biasa-biasa. Roti agak kering.",5.35,,Malay
"Tak buruk, tapi tak ada yang spesial. Pizza fusion ni agak hambar bagi saya. Mungkin orang lain suka.",5.1,,Malay
Fusion pizza ni agak rata-rata. Rasa sambal dan mayo tidak begitu kuat. Roti pula agak keras.,5.25,,Malay
"Biasa-biasa saja, pizza fusion ni. Rasa sambal dan mayo tidak menyerlah. Tidak ada yang menarik.",4.9,,Malay
Pizza fusion ni tak terlalu sedap tapi tak pula buruk. Rasa sambal dan mayo agak sederhana. Sesuai untuk yang suka rasa ringan.,5.3,,Malay
"Fusion pizza ni ok untuk makan santai. Rasa sambal dan mayo tidak kuat, topping biasa-biasa. Boleh cuba tapi tak wow.",5.15,,Malay
Pizza fusion ni rasa biasa-biasa sahaja. Sambal dan mayo tidak begitu berbeza. Roti agak keras juga.,5,,Malay
"Fusion pizza ini agak sederhana. Rasa sambal tidak pedas sangat, mayo pun ringan. Sesuai untuk yang suka rasa simple.",5.25,,Malay
Pizza ni ok tapi tak mengagumkan. Sambal dan mayo sederhana. Roti agak keras dan topping tidak banyak.,5.4,,Malay
Rasa pizza fusion ni rata-rata. Sambal dan mayo tiada rasa yang menonjol. Sesuai untuk yang tak mahu rasa berat.,5.1,,Malay
Fusion pizza ni agak hambar. Rasa sambal dan mayo biasa-biasa. Pizza ni tak menarik sangat.,4.85,,Malay
Pizza fusion ini ok tapi tiada apa yang menarik. Rasa sambal dan mayo sederhana. Roti agak keras.,5.25,,Malay
Fusion pizza ni biasa saja. Sambal dan mayo tidak kuat sangat. Sesuai untuk makan santai.,5.35,,Malay
Rasa pizza ni agak sederhana. Sambal dan mayo tidak menyerlah. Boleh makan tapi tak ulang.,5.15,,Malay
Hambar.,0.45,,Malay
Tak sedap langsung.,0.8,,Malay
Penuh kekecewaan.,1.2,,Malay
Rasa pelik.,0.7,,Malay
Tak makan lagi baik.,0.1,,Malay
Tak berbaloi.,0.3,,Malay
Roti keras.,0.9,,Malay
Rasa sangat tidak menyenangkan.,0.15,,Malay
Tak akan cuba lagi.,0,,Malay
Rasa hambar.,0.4,,Malay
"Roti lembik, topping tak sedap.",0.6,,Malay
Fusion pizza ni tak kena dengan selera saya.,1,,Malay
Roti keras dan topping tak fresh.,0.35,,Malay
Saya tak suka rasa sambal dan mayo.,0.25,,Malay
Tidak menyelerakan.,0.1,,Malay
Rasa tak kena langsung.,0.2,,Malay
"Penuh kekecewaan, tak puas hati.",0,,Malay
Pizza ni langsung tak sedap.,-0.5,,Malay
Roti keras dan rasa tak sedap.,0.3,,Malay
Tak ada rasa langsung.,0.2,,Malay
Topping basi?,-0.2,,Malay
Tak sedap dan tak menarik.,0.5,,Malay
Pizza ni buat saya sakit perut.,-0.1,,Malay
Rasa pelik dan kurang enak.,0.4,,Malay
"Roti keras, topping basi.",0.15,,Malay
Fusion pizza ni sangat mengecewakan.,0.1,,Malay
Rasa yang tak boleh diterima.,0,,Malay
Rasa hambar dan tak ada rasa.,0.3,,Malay
Roti keras macam batu.,0.1,,Malay
Pizza fusion ni sangat tidak enak.,0.2,,Malay
Tak sedap dan tak puas hati.,0.35,,Malay
Rasa sambal sangat pelik.,0.4,,Malay
Fusion pizza ni langsung tak sedap.,-0.3,,Malay
Saya tak boleh habiskan pizza ni.,0,,Malay
Rasa tak sedap dan topping basi.,0.25,,Malay
Roti keras dan topping kurang sedap.,0.2,,Malay
Fusion pizza ni sangat mengecewakan.,0.1,,Malay
Rasa hambar dan tak menyelerakan.,0.15,,Malay
Tak akan beli lagi.,-0.1,,Malay
Pizza ni tak kena dengan citarasa saya.,0.35,,Malay
Rasa pelik dan tak sedap.,0.3,,Malay
"Roti keras, rasa tak sedap.",0.4,,Malay
Fusion pizza ni buat saya sakit perut.,-0.2,,Malay
Rasa sambal dan mayo sangat pelik.,0.2,,Malay
Pizza ni rasa basi.,0.1,,Malay
Tak puas hati dengan rasa ni.,0.25,,Malay
Roti keras dan topping basi.,0,,Malay
Fusion pizza ni hambar.,0.35,,Malay
Rasa yang sangat mengecewakan.,0.1,,Malay
Tak sedap dan tak menarik langsung.,0.4,,Malay
Pizza ni rasa pelik dan tidak enak.,0.2,,Malay
Roti keras macam batu.,0.3,,Malay
Fusion pizza ni buat saya kecewa.,0.1,,Malay
Rasa sambal tak kena.,0.25,,Malay
Tak sedap dan tak puas hati.,0,,Malay
Pizza ni sangat tidak menyelerakan.,0.15,,Malay
Roti keras dan topping basi.,0.1,,Malay
Fusion pizza ni tak sedap langsung.,0.3,,Malay
Rasa yang pelik dan tak enak.,0.2,,Malay
Tak akan pesan lagi.,-0.1,,Malay
Pizza ni rasa basi dan tak sedap.,0,,Malay
Roti keras dan topping basi.,0.2,,Malay
Fusion pizza ni sangat mengecewakan.,0.15,,Malay
Rasa hambar dan tak menarik.,0.35,,Malay
Tak sedap dan tak berbaloi.,0.25,,Malay
Pizza ni rasa pelik dan tak enak.,0.1,,Malay
Roti keras macam batu.,0.2,,Malay
Fusion pizza ni buat saya kecewa.,0,,Malay
Rasa sambal tak kena langsung.,0.35,,Malay
Tak sedap dan tak puas hati.,0.15,,Malay
Pizza ni sangat tak menyelerakan.,0.1,,Malay
Roti keras dan topping basi.,0.2,,Malay
Fusion pizza ni tak sedap langsung.,0.25,,Malay
Rasa pelik dan tak enak.,0.1,,Malay
Tak akan pesan lagi.,-0.1,,Malay
Pizza ni basi dan tak sedap.,0,,Malay
Roti keras dan topping basi.,0.1,,Malay
Fusion pizza ni sangat mengecewakan.,0.2,,Malay
Rasa hambar dan tak menarik.,0.35,,Malay
Tak sedap dan tak berbaloi.,0.15,,Malay
Pizza ni pelik dan tak enak.,0.1,,Malay
Roti keras macam batu.,0.2,,Malay
Fusion pizza ni buat saya kecewa.,0,,Malay
Rasa sambal tak kena.,0.35,,Malay
Tak sedap dan tak puas hati.,0.15,,Malay
Pizza ni sangat tak menyelerakan.,0.1,,Malay
Roti keras dan topping basi.,0.2,,Malay
Fusion pizza ni tak sedap langsung.,0.25,,Malay
Rasa pelik dan tak enak.,0.1,,Malay
Tak akan pesan lagi.,-0.1,,Malay
Pizza basi dan tak sedap.,0,,Malay
Roti keras dan topping basi.,0.1,,Malay
Fusion pizza ni sangat mengecewakan.,0.2,,Malay
Rasa hambar dan tak menarik.,0.35,,Malay
Tak sedap dan tak berbaloi.,0.15,,Malay
Pizza ni pelik dan tak enak.,0.1,,Malay
Roti keras macam batu.,0.2,,Malay
Fusion pizza ni buat saya kecewa.,0,,Malay
Rasa sambal tak kena.,0.35,,Malay
Tak sedap dan tak puas hati.,0.15,,Malay
Pizza ni sangat tak menyelerakan.,0.1,,Malay
Roti keras dan topping basi.,0.2,,Malay
Fusion pizza ni tak sedap langsung.,0.25,,Malay
Rasa pelik dan tak enak.,0.1,,Malay
Tak akan pesan lagi.,-0.1,,Malay
"Tak sedap langsung, kecewa.",1.345,,Malay
"Roti keras, topping hambar.",0.899,,Malay
Fusion pizza ni sangat tidak menarik.,0.21,,Malay
"Rasa pelik, tak selera.",-0.1,,Malay
Tak berbaloi dengan harga.,1.002,,Malay
Pizza ni buat saya rasa nak muntah.,-0.219,,Malay
Tidak sesuai untuk saya.,1.78,,Malay
"Roti terlalu keras, topping tak fresh.",0.65,,Malay
Fusion pizza ni mengecewakan.,0.5,,Malay
"Rasa sambal terlalu kuat, tak balance.",0.9,,Malay
Tak puas hati langsung.,1.1,,Malay
"Rasa mayo terlalu banyak, buat pening.",0.33,,Malay
"Pizza ni rasa basi, tak boleh makan.",-0.05,,Malay
Fusion pizza yang sangat mengecewakan.,0.75,,Malay
Rasa hambar dan tak ada perisa.,0.6,,Malay
Tak akan beli lagi.,0.4,,Malay
Fusion pizza ni langsung tak sedap.,0.1,,Malay
Roti keras dan topping basi.,0.8,,Malay
Rasa sambal tak kena langsung.,1.2,,Malay
Pizza ni sangat tidak menyelerakan.,0.27,,Malay
"Rasa pelik, macam tak sedap.",0.95,,Malay
Fusion pizza ni buat saya kecewa.,0.45,,Malay
Tak sedap dan rasa pelik.,0.2,,Malay
"Pizza ni basi, tak boleh makan.",0.05,,Malay
Rasa mayo tak balance dengan sambal.,1.11,,Malay
Fusion pizza ni hambar dan tak menarik.,0.7,,Malay
Roti keras macam batu.,1.5,,Malay
"Pizza ni rasa pelik, tak sedap.",0.15,,Malay
Fusion pizza ni langsung tak memuaskan.,0.99,,Malay
"Rasa sambal terlalu kuat, tak serasi.",2.121,,Malay
"Terrible taste, very disappointed.",1.345,,English
"Crust was hard, toppings bland.",0.899,,English
This fusion pizza is really unappealing.,0.21,,English
"Weird flavor, no appetite.",-0.1,,English
Not worth the price.,1.002,,English
This pizza made me feel sick.,-0.219,,English
Not suitable for my taste.,1.78,,English
"Crust too hard, toppings not fresh.",0.65,,English
Really disappointing fusion pizza.,0.5,,English
"Chili sauce too strong, unbalanced.",0.9,,English
Completely unsatisfied.,1.1,,English
"Too much mayo, gave me headache.",0.33,,English
"Pizza tasted stale, couldn't eat it.",-0.05,,English
Very disappointing fusion pizza.,0.75,,English
Flavorless and bland.,0.6,,English
Won't buy again.,0.4,,English
Fusion pizza was not tasty at all.,0.1,,English
Crust hard and toppings spoiled.,0.8,,English
Chili sauce didn’t taste right.,1.2,,English
Very unappetizing pizza.,0.27,,English
"Weird taste, not good.",0.95,,English
This pizza really disappointed me.,0.45,,English
"Not tasty, strange flavor.",0.2,,English
"Pizza was stale, uneatable.",0.05,,English
Mayo overpowered the chili sauce.,1.11,,English
Fusion pizza was bland and boring.,0.7,,English
Crust was like a rock.,1.5,,English
Tasted weird and unpleasant.,0.15,,English
Fusion pizza did not satisfy.,0.99,,English
Chili sauce way too strong and clashing.,2.121,,English
Unpleasant flavor and dry crust.,1.23,,English
Not fresh and poorly made.,0.54,,English
Flavors didn’t blend well.,0.62,,English
Pizza was disappointing and dry.,0.47,,English
Poorly balanced taste.,0.31,,English
Way below expectations.,0.89,,English
"Crust was burnt, toppings soggy.",0.72,,English
Unpleasant aftertaste.,0.42,,English
Really bad combination of flavors.,0.51,,English
Tasted like leftovers.,0.29,,English
Ingredients seemed stale.,0.38,,English
Fusion pizza lacked flavor.,0.61,,English
Not enjoyable at all.,0.47,,English
Toppings were bland and cold.,0.54,,English
"Rancid taste, threw it away.",0.18,,English
Pizza was soggy and tasteless.,0.39,,English
Disappointed with the overall taste.,0.66,,English
"Chili sauce too harsh, mayo too sweet.",0.83,,English
Not a good fusion attempt.,0.74,,English
Flavors clashed badly.,0.9,,English
"Ten out of ten, would highly recommend!",1010,,Guga
Oh itz phenomenal!,-42,,Guga
Ni hao,NaN,,Chinese
Hen tai fei chang hao,0.001,,Chinese
Nani kore,0.997413,,Nippon
Diabolic,NaN,,English
Jia!,???,,Chinese
